,P_degree
798,44
799,86
800,63
801,57
802,101
803,47
804,107
805,67
806,47
807,106
808,59
809,88
810,85
811,55
812,90
813,57
814,85
815,105
816,20
817,105
818,22
819,52
820,92
821,57
822,37
823,100
824,63
825,51
826,56
827,74
828,90
829,32
830,53
831,73
832,62
833,91
834,92
835,51
836,88
837,47
838,45
839,79
840,100
841,82
842,72
843,65
844,15
845,79
846,60
847,48
848,96
849,78
850,74
851,87
852,89
853,77
854,54
855,1
856,53
857,72
858,86
859,99
860,49
861,54
862,25
863,56
864,84
865,68
866,76
867,35
868,34
869,19
870,110
871,102
872,93
873,73
874,74
875,62
876,60
877,51
878,103
879,42
880,35
881,87
882,51
883,11
884,71
885,84
886,21
887,60
888,44
889,56
890,74
891,63
892,80
893,34
894,46
895,76
896,39
897,48
898,41
899,84
900,83
901,67
902,67
903,62
904,32
905,53
906,79
907,71
908,76
909,63
910,23
911,49
912,61
913,49
914,51
915,76
916,77
917,59
918,43
919,80
920,81
921,70
922,55
923,56
924,29
925,91
926,32
927,63
928,88
929,32
930,57
931,55
932,101
933,105
934,112
935,55
936,83
937,89
938,107
939,78
940,69
941,108
942,55
943,42
944,45
945,66
946,29
947,11
948,86
949,55
950,101
951,26
952,84
953,101
954,42
955,62
956,46
957,105
958,96
959,29
960,101
961,85
962,105
963,106
964,65
965,59
966,73
967,55
968,57
969,70
970,42
971,44
972,98
973,44
974,36
975,88
976,45
977,101
978,54
979,46
980,38
981,57
982,112
983,4
984,75
985,100
986,11
987,83
988,62
989,85
990,68
991,54
992,42
993,105
994,99
995,64
996,59
997,91
998,97
999,58
1000,22
1001,51
1002,72
1003,65
1004,106
1005,119
1006,82
1007,106
1008,101
1009,78
1010,100
1011,31
1012,113
1013,98
1014,71
1015,55
1016,91
1017,67
1018,79
1019,82
1020,75
1021,55
1022,100
1023,19
1024,79
1025,92
1026,54
1027,89
1028,71
1029,64
1030,34
1031,56
1032,75
1033,87
1034,95
1035,50
1036,105
1037,92
1038,64
1039,64
1040,55
1041,58
1042,63
1043,126
1044,33
1045,65
1046,96
1047,78
1048,37
1049,101
1050,43
1051,77
1052,113
1053,71
1054,96
1055,57
1056,78
1057,85
1058,52
1059,54
1060,75
1061,30
1062,42
1063,9
1064,67
1065,68
1066,78
1067,44
1068,51
1069,54
1070,77
1071,68
1072,112
1073,96
1074,57
1075,0
1076,74
1077,64
1078,61
1079,54
1080,82
1081,56
1082,0
1083,76
1084,41
1085,77
1086,62
1087,91
1088,59
1089,99
1090,81
1091,95
1092,94
1093,54
1094,50
1095,70
1096,45
1097,54
1098,95
1099,61
1100,76
1101,43
1102,66
1103,99
1104,53
1105,56
1106,140
1107,52
1108,82
1109,58
1110,81
1111,43
1112,46
1113,43
1114,60
1115,114
1116,99
1117,85
1118,80
1119,116
1120,76
1121,44
1122,88
1123,40
1124,67
1125,78
1126,65
1127,43
1128,95
1129,99
1130,70
1131,45
1132,15
1133,77
1134,125
1135,80
1136,69
1137,76
1138,47
1139,49
1140,103
1141,51
1142,81
1143,66
1144,102
1145,53
1146,7
1147,61
1148,114
1149,38
1150,60
1151,56
1152,57
1153,108
1154,58
1155,135
1156,92
1157,92
1158,92
1159,66
1160,44
1161,78
1162,59
1163,104
1164,95
1165,77
1166,69
1167,60
1168,54
1169,103
1170,74
1171,42
1172,26
1173,89
1174,60
1175,66
1176,56
1177,90
1178,60
1179,99
1180,59
1181,71
1182,84
1183,73
1184,20
1185,62
1186,78
1187,96
1188,45
1189,107
1190,70
1191,89
1192,81
1193,62
1194,48
1195,49
1196,83
1197,62
1198,83
1199,61
1200,98
1201,53
1202,74
1203,67
1204,40
1205,11
1206,57
1207,67
1208,54
1209,92
1210,92
1211,82
1212,41
1213,72
1214,61
1215,72
1216,51
1217,66
1218,103
1219,135
1220,89
1221,42
1222,46
1223,72
1224,86
1225,55
1226,76
1227,46
1228,68
1229,51
1230,97
1231,32
1232,77
1233,78
1234,81
1235,84
1236,84
1237,62
1238,50
1239,100
1240,20
1241,57
1242,38
1243,64
1244,62
1245,77
1246,46
1247,93
1248,56
1249,85
1250,45
1251,128
1252,64
1253,80
1254,79
1255,17
1256,11
1257,65
1258,47
1259,113
1260,109
1261,19
1262,57
1263,21
1264,73
1265,58
1266,31
1267,35
1268,74
1269,88
1270,88
1271,61
1272,85
1273,81
1274,88
1275,56
1276,37
1277,76
1278,80
1279,97
1280,51
1281,102
1282,60
1283,28
1284,70
1285,32
1286,50
1287,71
1288,56
1289,76
1290,28
1291,41
1292,38
1293,64
1294,63
1295,61
1296,55
1297,48
1298,96
1299,79
1300,91
1301,89
1302,94
1303,57
1304,127
1305,122
1306,95
1307,80
1308,34
1309,54
1310,78
1311,78
1312,44
1313,64
1314,78
1315,126
1316,95
1317,49
1318,69
1319,82
1320,56
1321,54
1322,38
1323,34
1324,61
1325,75
1326,36
1327,94
1328,127
1329,90
1330,72
1331,142
1332,74
1333,75
1334,93
1335,112
1336,41
1337,72
1338,48
1339,97
1340,40
1341,76
1342,116
1343,98
1344,92
1345,80
1346,46
1347,64
1348,94
1349,58
1350,96
1351,37
1352,65
1353,87
1354,50
1355,40
1356,65
1357,79
1358,74
1359,97
1360,98
1361,94
1362,46
1363,71
1364,61
1365,81
1366,62
1367,82
1368,63
1369,51
1370,48
1371,89
1372,86
1373,67
1374,49
1375,90
1376,92
1377,43
1378,78
1379,51
1380,113
1381,90
1382,69
1383,98
1384,11
1385,88
1386,47
1387,20
1388,119
1389,41
1390,53
1391,77
1392,104
1393,82
1394,77
1395,48
1396,36
1397,50
1398,47
1399,114
1400,70
1401,60
1402,59
1403,86
1404,84
1405,61
1406,79
1407,61
1408,56
1409,52
1410,55
1411,74
1412,59
1413,46
1414,41
1415,64
1416,84
1417,50
1418,87
1419,101
1420,29
1421,74
1422,63
1423,62
1424,92
1425,81
1426,20
1427,19
1428,50
1429,64
1430,31
1431,90
1432,93
1433,105
1434,78
1435,84
1436,77
1437,69
1438,67
1439,32
1440,21
1441,91
1442,96
1443,2
1444,81
1445,53
1446,49
1447,63
1448,73
1449,59
1450,101
1451,61
1452,74
1453,55
1454,78
