,rectified.centrality
0,0.0
1,0.12179487179487179
2,0.12179487179487179
3,0.06410256410256411
4,0.08333333333333333
5,0.07051282051282051
6,0.08974358974358973
7,0.08333333333333333
8,0.0
9,0.08333333333333333
10,0.12820512820512817
11,0.07692307692307693
12,0.08974358974358973
13,0.057692307692307696
14,0.12820512820512817
15,0.08974358974358973
16,0.12820512820512817
17,0.00641025641025641
18,0.10256410256410256
19,0.07692307692307693
20,0.0
21,0.038461538461538464
22,0.038461538461538464
23,0.0
24,0.09615384615384613
25,0.11538461538461536
26,0.1474358974358974
27,0.0
28,0.09615384615384613
29,0.09615384615384613
30,0.038461538461538464
31,0.11538461538461536
32,0.019230769230769232
33,0.02564102564102564
34,0.10897435897435896
35,0.16666666666666663
36,0.019230769230769232
37,0.11538461538461536
38,0.12179487179487179
39,0.07051282051282051
40,0.0
41,0.07051282051282051
42,0.08333333333333333
43,0.12179487179487179
44,0.032051282051282055
45,0.01282051282051282
46,0.08974358974358973
47,0.08333333333333333
48,0.08333333333333333
49,0.12179487179487179
50,0.08974358974358973
51,0.0
52,0.11538461538461536
53,0.01282051282051282
54,0.1474358974358974
55,0.09615384615384613
56,0.2243589743589743
57,0.044871794871794865
58,0.141025641025641
59,0.16666666666666663
60,0.08974358974358973
61,0.07692307692307693
62,0.0
63,0.08333333333333333
64,0.13461538461538458
65,0.00641025641025641
66,0.13461538461538458
67,0.0
68,0.11538461538461536
69,0.0
70,0.10897435897435896
71,0.11538461538461536
72,0.11538461538461536
73,0.08333333333333333
74,0.019230769230769232
75,0.00641025641025641
76,0.08974358974358973
77,0.08974358974358973
78,0.11538461538461536
79,0.11538461538461536
80,0.05128205128205128
81,0.10897435897435896
82,0.10256410256410256
83,0.09615384615384613
84,0.08974358974358973
85,0.00641025641025641
86,0.07051282051282051
87,0.09615384615384613
88,0.11538461538461536
89,0.08333333333333333
90,0.0
91,0.17307692307692304
92,0.12179487179487179
93,0.06410256410256411
94,0.12820512820512817
95,0.044871794871794865
96,0.0
97,0.0
98,0.05128205128205128
99,0.07051282051282051
100,0.07051282051282051
101,0.00641025641025641
102,0.11538461538461536
103,0.00641025641025641
104,0.1474358974358974
105,0.06410256410256411
106,0.10897435897435896
107,0.08333333333333333
108,0.0
109,0.06410256410256411
110,0.06410256410256411
111,0.0
112,0.15384615384615383
113,0.10897435897435896
114,0.038461538461538464
115,0.07692307692307693
116,0.0
117,0.09615384615384613
118,0.12179487179487179
119,0.05128205128205128
120,0.11538461538461536
121,0.06410256410256411
122,0.11538461538461536
123,0.06410256410256411
124,0.06410256410256411
125,0.0
126,0.0
127,0.0
128,0.044871794871794865
129,0.044871794871794865
130,0.07051282051282051
131,0.141025641025641
132,0.0
133,0.00641025641025641
134,0.08333333333333333
135,0.1474358974358974
136,0.12179487179487179
137,0.07051282051282051
138,0.2243589743589743
139,0.00641025641025641
140,0.08974358974358973
141,0.09615384615384613
142,0.038461538461538464
143,0.01282051282051282
144,0.08333333333333333
145,0.07051282051282051
146,0.038461538461538464
147,0.0
148,0.02564102564102564
149,0.07051282051282051
150,0.07692307692307693
151,0.2115384615384615
152,0.038461538461538464
153,0.1474358974358974
154,0.15384615384615383
155,0.11538461538461536
156,0.0
157,0.10256410256410256
158,0.057692307692307696
159,0.0
160,0.01282051282051282
161,0.019230769230769232
162,0.0
163,0.08974358974358973
164,0.21794871794871792
165,0.11538461538461536
166,0.057692307692307696
167,0.07051282051282051
168,0.032051282051282055
169,0.07692307692307693
170,0.08333333333333333
171,0.10897435897435896
172,0.032051282051282055
173,0.12179487179487179
174,0.02564102564102564
175,0.1474358974358974
176,0.044871794871794865
177,0.2948717948717948
178,0.3333333333333333
179,0.1474358974358974
180,0.0
181,0.11538461538461536
182,0.00641025641025641
183,0.07051282051282051
184,0.01282051282051282
185,0.12179487179487179
186,0.00641025641025641
187,0.10897435897435896
188,0.07051282051282051
189,0.0
190,0.10256410256410256
191,0.09615384615384613
192,0.10897435897435896
193,0.10897435897435896
194,0.06410256410256411
195,0.06410256410256411
196,0.06410256410256411
197,0.10256410256410256
198,0.0
199,0.11538461538461536
200,0.07051282051282051
201,0.12179487179487179
202,0.02564102564102564
203,0.057692307692307696
204,0.09615384615384613
205,0.12179487179487179
206,0.06410256410256411
207,0.0
208,0.10897435897435896
209,0.07051282051282051
210,0.07051282051282051
211,0.12179487179487179
212,0.17307692307692304
213,0.06410256410256411
214,0.10256410256410256
215,0.07692307692307693
216,0.09615384615384613
217,0.15384615384615383
218,0.00641025641025641
219,0.11538461538461536
220,0.01282051282051282
221,0.057692307692307696
222,0.0
223,0.11538461538461536
224,0.00641025641025641
225,0.11538461538461536
226,0.12179487179487179
227,0.12820512820512817
228,0.0
229,0.11538461538461536
230,0.02564102564102564
231,0.13461538461538458
232,0.01282051282051282
233,0.01282051282051282
234,0.08974358974358973
235,0.057692307692307696
236,0.11538461538461536
237,0.16666666666666663
238,0.08974358974358973
239,0.07051282051282051
240,0.23076923076923073
241,0.09615384615384613
242,0.08974358974358973
243,0.10897435897435896
244,0.0
245,0.08333333333333333
246,0.0
247,0.038461538461538464
248,0.07051282051282051
249,0.0
250,0.2243589743589743
251,0.1474358974358974
252,0.16666666666666663
253,0.10897435897435896
254,0.12179487179487179
255,0.0
256,0.0
257,0.0
258,0.07051282051282051
259,0.07051282051282051
260,0.12179487179487179
261,0.09615384615384613
262,0.1474358974358974
263,0.0
264,0.10897435897435896
265,0.07051282051282051
266,0.08333333333333333
267,0.02564102564102564
268,0.16666666666666663
269,0.01282051282051282
270,0.00641025641025641
271,0.16666666666666663
272,0.10256410256410256
273,0.0
274,0.044871794871794865
275,0.17948717948717946
276,0.10256410256410256
277,0.07692307692307693
278,0.00641025641025641
279,0.0
280,0.08974358974358973
281,0.0
282,0.15384615384615383
283,0.09615384615384613
284,0.00641025641025641
285,0.10897435897435896
286,0.0
287,0.07051282051282051
288,0.0
289,0.0
290,0.05128205128205128
291,0.07692307692307693
292,0.0
293,0.09615384615384613
294,0.0
295,0.0
296,0.06410256410256411
297,0.08974358974358973
298,0.07051282051282051
299,0.07692307692307693
300,0.0
301,0.0
302,0.032051282051282055
303,0.044871794871794865
304,0.02564102564102564
305,0.0
306,0.16025641025641024
307,0.032051282051282055
308,0.09615384615384613
309,0.06410256410256411
310,0.11538461538461536
311,0.057692307692307696
312,0.11538461538461536
313,0.038461538461538464
314,0.09615384615384613
315,0.0
316,0.1474358974358974
317,0.10897435897435896
318,0.12179487179487179
319,0.08333333333333333
320,0.0
321,0.11538461538461536
322,0.019230769230769232
323,0.07692307692307693
324,0.057692307692307696
325,0.0
326,0.032051282051282055
327,0.00641025641025641
328,0.0
329,0.09615384615384613
330,0.08974358974358973
331,0.10256410256410256
332,0.18589743589743588
333,0.10256410256410256
334,0.0
335,0.0
336,0.10897435897435896
337,0.057692307692307696
338,0.0
339,0.10897435897435896
340,0.11538461538461536
341,0.10256410256410256
342,0.057692307692307696
343,0.17307692307692304
344,0.06410256410256411
345,0.07692307692307693
346,0.00641025641025641
347,0.057692307692307696
348,0.0
349,0.038461538461538464
350,0.00641025641025641
351,0.09615384615384613
352,0.11538461538461536
353,0.11538461538461536
354,0.08333333333333333
355,0.032051282051282055
356,0.00641025641025641
357,0.0
358,0.05128205128205128
359,0.12820512820512817
360,0.1474358974358974
361,0.0
362,0.01282051282051282
363,0.00641025641025641
364,0.08974358974358973
365,0.0
366,0.00641025641025641
367,0.02564102564102564
368,0.0
369,0.07051282051282051
370,0.019230769230769232
371,0.10897435897435896
372,0.0
373,0.10897435897435896
374,0.08974358974358973
375,0.0
376,0.0
377,0.12820512820512817
378,0.07051282051282051
379,0.038461538461538464
380,0.15384615384615383
381,0.06410256410256411
382,0.1987179487179487
383,0.09615384615384613
384,0.08974358974358973
385,0.141025641025641
386,0.09615384615384613
387,0.08974358974358973
388,0.0
389,0.05128205128205128
390,0.10897435897435896
391,0.07692307692307693
392,0.0
393,0.05128205128205128
394,0.17307692307692304
395,0.10897435897435896
396,0.038461538461538464
397,0.057692307692307696
398,0.06410256410256411
399,0.0
400,0.17307692307692304
401,0.07051282051282051
402,0.09615384615384613
403,0.038461538461538464
404,0.0
405,0.01282051282051282
